LHS Compound,RHS Compound,LHS HOMO,LHS LUMO,LHS Total Energy,RHS HOMO,RHS LUMO,RHS Total Energy
c1ccc2ccccc2c1,c1[C]Cc2ccccc2c1,-0.22545,-0.05066,-385.999657056,0.17057,0.20459,-385.788142175
CC=Cc1ccc2c(c1)OCO2,C[C]Cc1ccc2c(c1)OCO2,-0.2063,-0.03739,-537.657160922,0.16316,0.18061,-537.421681429
c1ccc2occc2c1,c1ccc2o[C]Cc2c1,-0.23254,-0.0342,-383.784762588,0.17953,0.20309,-383.544959333
c1ccoc1,c1[C]Coc1,-0.23906,-0.00503,-230.093737125,0.2156,0.26358,-229.835842599
c1ccc2ncccc2c1,c1ccc2N[C]ccc2c1,-0.24361,-0.06598,-402.042330994,0.18016,0.20549,-401.845383518
c1cn[nH]c1,c1[C]N[nH]c1,-0.25822,-0.00201,-226.270889819,0.19788,0.23523,-226.008914814
Clc1ccc(I)cc1,Clc1c[C]C(I)cc1,,,,,,
Brc1ccc(I)cc1,Brc1c[C]C(I)cc1,,,,,,
CC=Cc1ccc(OC)cc1,CC[C]c1ccc(OC)cc1,-0.21192,-0.02643,-463.625110244,0.15876,0.187,-463.433416935
O=C(CBr)c1ccccc1,O[C](CBr)c1ccccc1,-0.27138,-0.0901,-2958.5453388,-0.06695,0.06105,-2959.2514135
O=[N+]([O-])c1ccc(F)cc1,O=[N+]([O-])C1[C]cc(F)cc1,-0.29388,-0.10946,-536.157807303,0.01272,0.12717,-536.093421681
CCOC(=O)CBr,CCO[C](O)CBr,-0.28658,-0.02691,-2881.34153221,-0.04975,0.08556,-2882.0148145
CCOC(=O)C(Br)C(=O)OCC,CCOC(=O)C(Br)[C](O)OCC,-0.28656,-0.0583,-3148.61100178,-0.08054,0.08495,-3149.32174056
Brc1ccc(I)cc1,Brc1c[C]C(I)cc1,,,,,,
Clc1ccc(I)cc1,Clc1c[C]C(I)cc1,,,,,,
Ic1ccccc1,IC1cccc[C]1,,,,,,
