molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
1,c1ccc2ccccc2c1,8,0,0,0,0,0,0,1,128.173,0,335.236,0,0,335.236,0,518.489,0,0,0,0,0.9310522,17.797,5.557,5.217,2.211,3.35,-3.602,-3.721,-4.246,9906.038,0.192,5899.293,-0.339,8.548,0.652,0,0.123,3,100,0,0,0,0,0,10,0,10,0,10,0,11.167
10,CC=Cc1ccc2c(c1)OCO2,4,0,0,0,0,1,1,0,162.188,1.502,356.677,196.607,0,160.07,0,575.457,0,1.5,0.0039211,0,0.9380627,17.762,5.008,5.767,2.923,2.559,-2.518,-2.518,-3.298,9906.038,-0.1,5899.293,-0.86,8.627,0.28,1,-0.155,3,100,0,0,18.735,2,0,9,0,9,1,12,0,68.016
10,CC=Cc1ccc2c(c1)OCO2,4,0,0,0,0,1,1,0,162.188,1.192,350.188,199.372,0,150.816,0,568.185,0,1.5,0.0025024,0,0.9473787,17.383,4.965,5.616,2.845,2.463,-2.442,-2.442,-3.103,9906.038,-0.095,5899.293,-0.892,8.695,0.173,1,-0.176,3,100,0,0,18.736,2,0,9,0,9,1,12,0,75.111
100,c1ccc2occc2c1,9,0,0,0,0,0,0,0,118.135,0.973,293.559,0,0,293.559,0,446.584,0,0.5,0.0021206,0,0.962509,14.522,4.836,4.353,2.915,2.62,-2.896,-2.681,-3.539,9906.038,-0.037,5899.293,-0.485,8.95,0.222,1,-0.219,3,100,0,0,9.024,1,0,9,0,9,0,9,0,80.591
101,c1ccoc1,11,0,0,0,0,0,0,0,68.075,0.622,212.926,0,0,212.926,0,297.173,0,0.5,0.0013023,0,1.0114475,7.772,3.202,1.926,2.172,1.334,-0.818,-0.518,-2.362,9906.038,-0.037,5899.293,-0.769,9.395,-0.644,1,-0.653,3,100,0,0,8.922,1,0,5,0,5,0,5,0,3508.538
102,c1ccc2ncccc2c1,4,0,0,0,0,0,0,1,129.161,2.094,329.464,0,21.883,307.581,0,506.188,0,1,0.0086604,0,0.9323205,17.041,5.396,5.677,3.738,2.091,-1.344,-1.951,-4.094,6143.037,0.396,3519.645,-0.839,8.957,0.903,1,-0.18,3,100,0,0,12.304,1,0,10,0,10,0,10,0,216.222
103,c1cn[nH]c1,9,0,0,0,0,0,0,1,68.078,3.069,228.159,0,72.038,156.122,0,309.381,1,1.5,0.0304381,0.0065744,0.9695929,7.718,3.083,4.517,4.762,0.26,-0.55,-0.457,-2.769,2054.783,0.053,1077.49,-2.297,9.688,-0.647,0,-0.785,3,87.76,0,0,31.099,2,0,5,0,5,0,5,0,334.833
106,Clc1ccc(I)cc1,8,0,0,0,0,0,0,1,238.455,0.117,324.855,0,0,169.595,155.26,487.601,0,0,2.81E-05,0,0.922257,14.979,5.044,4.718,1.709,3.161,-3.02,-3.565,-3.599,9906.038,0.192,10000,-0.922,9.131,0.984,0,0.034,3,100,0,0,0,0,0,6,0,6,0,8,0,7.764
107,Brc1ccc(I)cc1,8,0,0,0,0,0,0,1,282.906,0.532,329.901,0,0,168.894,161.008,496.517,0,0,0.0005697,0,0.9191875,15.33,5.146,4.869,1.718,3.971,-3.289,-3.705,-3.645,9906.038,0.192,10000,-0.925,9.227,1.03,0,0.059,3,100,0,0,0,0,0,6,0,6,0,8,0,6.638
11,CC=Cc1ccc(OC)cc1,4,0,0,0,0,2,0,1,148.204,1.356,389.612,217.38,0,172.232,0,615.075,0,0.75,0.0029894,0,0.8977417,18.822,5.121,5.629,2.126,3.161,-2.935,-3.574,-4.008,9906.038,0.284,5899.293,-0.721,8.582,0.087,2,0.118,3,100,0,0,8.289,1,0,6,0,6,0,11,0,7.513
11,CC=Cc1ccc(OC)cc1,4,0,0,0,0,2,0,1,148.204,1.594,383.125,220.133,0,162.992,0,607.791,0,0.75,0.0041783,0,0.9057194,18.442,5.051,5.514,2.047,3.114,-2.932,-3.498,-3.835,9906.038,0.29,5899.293,-0.753,8.679,-0.022,2,0.097,3,100,0,0,8.293,1,0,6,0,6,0,11,0,8.3
110,O=C(CBr)c1ccccc1,2,0,0,0,0,2,1,1,199.047,5.516,357.601,41.565,44.298,194.09,77.649,554.081,0,2,0.0549181,0,0.9123221,16.59,5.614,6.902,3.757,2.144,-1.918,-2.732,-3.876,3765.507,0.279,5522.126,-1.46,10.115,0.758,1,-0.393,3,100,0,0,27.563,1,0,6,0,6,0,10,0,75.749
