LHS Compound,RHS Compound,LHS HOMO,LHS LUMO,LHS Total Energy,RHS HOMO,RHS LUMO,RHS Total Energy
O=C1C=CC(=O)C(=C1)C#N,[O]c1ccc(O)cc1C#N,-0.30803,-0.16749,-473.832072,-0.03612,0.09563,-474.5406447
O=C1C=CC(=O)C(=C1C#N)C#N,[O]c1ccc(O)c(C#N)c1C#N,-0.32602,-0.18817,-566.0862907,-0.06017,0.05778,-566.8237543
ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,[O]c1c(Cl)c(Cl)c(O)c(C#N)c1C#N,-0.31741,-0.19635,-1485.322469,-0.0786,0.04223,-1486.073082
ClC1=CC(=O)C=CC1=O,[O]c1ccc(O)cc1Cl,-0.29507,-0.15071,-841.194298,-0.01797,0.10284,-841.8796024
CC(C)(C)C1=CC(=O)C(=CC1=O)Br,CC(C)(C)c1cc([O])c(Br)cc1O,-0.28362,-0.14255,-3112.4108,-0.02404,0.0905,-3113.092321
CC1=CC(=O)C=C(Br)C1=O,Cc1cc(O)cc(Br)c1[O],-0.28716,-0.14482,-2994.44158,-0.0202,0.09938,-2995.125285
CC(C)C1=CC(=O)C=C(I)C1=O,CC(C)c1cc(O)cc(I)c1[O],,,,,,
CC(C)C1=CC(=O)C(=C(I)C1=O)C,CC(C)c1cc(O)c(C)c(I)c1[O],,,,,,
ClC1=CC(=O)C=C(Br)C1=O,[O]c1c(Cl)cc(O)cc1Br,-0.29499,-0.15723,-3414.728748,-0.04135,0.09593,-3415.427241
ClC1=C(Cl)C(=O)C=CC1=O,[O]c1ccc(O)c(Cl)c1Cl,-0.29112,-0.15504,-1300.812553,-0.02821,0.09614,-1301.510322
ClC1=CC(=O)C(=CC1=O)Cl,[O]c1cc(Cl)c(O)cc1Cl,-0.29986,-0.15711,-1300.815604,-0.03159,0.09714,-1301.516308
ClC1=CC(=O)C=C(Cl)C1=O,[O]c1c(Cl)cc(O)cc1Cl,-0.30081,-0.15734,-1300.814712,-0.03847,0.09867,-1301.511645
BrC1=CC(=O)C=C(Br)C1=O,[O]c1c(Br)cc(O)cc1Br,-0.29184,-0.15716,-5528.642759,-0.04415,0.09333,-5529.342792
IC1=CC(=O)C=C(I)C1=O,[O]c1c(I)cc(O)cc1I,,,,,,
CC(C)(C)C1=CC(=O)C(=C(Cl)C1=O)Cl,CC(C)(C)c1cc([O])c(Cl)c(Cl)c1O,-0.28385,-0.14656,-1458.114725,-0.03095,0.09019,-1458.806512
CC(C)(C)C1=CC(=O)C(=C(Br)C1=O)Br,CC(C)(C)c1cc([O])c(Br)c(Br)c1O,-0.27664,-0.146,-5685.941843,-0.03454,0.07332,-5686.635748
CC(C)(C)C1=CC(=O)C(=C(I)C1=O)I,CC(C)(C)c1cc([O])c(I)c(I)c1O,,,,,,
CC1=C(Cl)C(=O)C(=C(C)C1=O)Cl,Cc1c(O)c(C)c(Cl)c([O])c1Cl,-0.28101,-0.14487,-1379.479408,-0.03544,0.08809,-1380.163111
CC(C)(C)C1=C(Cl)C(=O)C(=C(Cl)C1=O)C(C)(C)C,CC(C)(C)c1c([O])c(Cl)c(c(O)c1Cl)C(C)(C)C,-0.2729,-0.12763,-1615.391844,-0.03667,0.08922,-1616.077377
CC(C)C1=C(Br)C(=O)C(=C(Br)C1=O)C,CC(C)c1c([O])c(Br)c(C)c(O)c1Br,-0.27469,-0.14377,-5685.950565,-0.03567,0.07629,-5686.644427
CC(C)C1=C(Br)C(=O)C(=C(Br)C1=O)C(C)C,CC(C)c1c([O])c(Br)c(C(C)C)c(O)c1Br,-0.27338,-0.14205,-5764.593685,-0.03789,0.07497,-5765.290145
BrC1=C(C(=O)C(=C(C1=O)c2ccccc2)Br)c3ccccc3,[O]c1c(Br)c(c(O)c(Br)c1c2ccccc2)c3ccccc3,-0.2572,-0.14397,-5990.868766,-0.04775,0.06962,-5991.571935
COC1=C(Cl)C(=O)C(=C(Cl)C1=O)OC,COc1c([O])c(Cl)c(OC)c(O)c1Cl,-0.24934,-0.13754,-1529.928559,-0.03443,0.09175,-1530.618738
COC1=C(Br)C(=O)C(=C(OC)C1=O)Br,COc1c(O)c(OC)c(Br)c([O])c1Br,-0.25164,-0.14303,-5757.754203,-0.03904,0.08613,-5758.448469
NC1=C(Br)C(=O)C(=C(Br)C1=O)N,Nc1c([O])c(Br)c(N)c(O)c1Br,-0.23554,-0.12374,-5639.437858,-0.02656,0.08472,-5640.099725
BrC1=CC(=O)C(=CC1=O)Br,[O]c1cc(Br)c(O)cc1Br,-0.29094,-0.15705,-5528.643657,-0.0365,0.08012,-5529.347208
ClC1=CC(=O)C(=C(Cl)C1=O)Cl,[O]c1cc(Cl)c(O)c(Cl)c1Cl,-0.29325,-0.16103,-1760.432702,-0.04113,0.08482,-1761.139257
CCCCCCC1=C(Br)C(=O)C(=C(Br)C1=O)Br,CCCCCCc1c([O])c(Br)c(Br)c(O)c1Br,-0.27648,-0.15199,-8338.128469,-0.04819,0.06008,-8338.831175
FC1=C(F)C(=O)C(=C(F)C1=O)F,[O]c1c(F)c(F)c(O)c(F)c1F,-0.3138,-0.17085,-778.6222343,-0.03451,0.0917,-779.3272479
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,[O]c1c(Cl)c(Cl)c(O)c(Cl)c1Cl,-0.29089,-0.16437,-2220.049483,-0.04959,0.07688,-2220.762838
BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br,[O]c1c(Br)c(Br)c(O)c(Br)c1Br,-0.28192,-0.16229,-10675.70399,-0.05516,0.05304,-10676.41992
IC1=C(I)C(=O)C(=C(I)C1=O)I,[O]c1c(I)c(I)c(O)c(I)c1I,,,,,,
CC1=CC(=O)C=CC1=O,Cc1cc(O)ccc1[O],-0.27999,-0.13722,-420.9058189,-0.00286,0.10626,-421.5744983
CC(C)(C)C1=CC(=O)C=CC1=O,CC(C)(C)c1cc(O)ccc1[O],-0.27568,-0.13533,-538.8743689,-0.00961,0.09709,-539.546664
CC(C)C1=CC(=O)C(=CC1=O)C,CC(C)c1cc([O])c(C)cc1O,-0.27228,-0.13064,-538.8860969,-0.00538,0.09798,-539.5509029
CC(C)C1=C(C(=O)C(=C(C1=O)[N+]([O-])=O)C)[N+]([O-])=O,CC(C)c1c(O)c(c(C)c([O])c1[N+]([O-])=O)[N+]([O-])=O,-0.31056,-0.17028,-947.9899574,-0.05756,0.00943,-948.7153829
CC1=C(C(=O)C=CC1=O)C(C)(C)c2ccccc2,Cc1c([O])ccc(O)c1C(C)(C)c2ccccc2,-0.24702,-0.12779,-769.9716888,-0.01263,0.08234,-770.6395867
CC1=C(C)C(=O)C=CC1=O,Cc1c([O])ccc(O)c1C,-0.27578,-0.13271,-460.2346026,-0.00224,0.10464,-460.8988313
CC1=CC(=O)C(=CC1=O)C,Cc1cc(O)c(C)cc1[O],-0.27514,-0.13111,-460.2391025,-0.00206,0.10428,-460.9022614
CC1=CC(=O)C=C(C)C1=O,Cc1cc(O)cc(C)c1[O],-0.27427,-0.13145,-460.2386943,-0.00964,0.10968,-460.9036882
CC(C)=CCC1=CC(=O)C(=C(C)C1=O)C,CC(C)=CCc1cc([O])c(C)c(C)c1O,-0.24994,-0.12376,-655.6389101,-0.01282,0.08526,-656.2983206
CC(C)C1=C(C(C)C)C(=O)C(=C(C)C1=O)C,CC(C)c1c([O])c(C)c(C)c(O)c1C(C)C,-0.25834,-0.1203,-696.1842554,-0.01087,0.09082,-696.8432783
CC1=C(C)C(=O)C2=C(OCO2)C1=O,Cc1c(C)c(O)c2OCOc2c1[O],-0.23897,-0.13202,-648.8150701,-0.0105,0.10151,-649.4859758
CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C,CC(C)(C)c1cc(O)c(cc1[O])C(C)(C)C,-0.26739,-0.12813,-696.1765156,-0.01357,0.09222,-696.8440235
CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,CC(C)(C)c1cc(O)cc(c1[O])C(C)(C)C,-0.2668,-0.12829,-696.1741302,-0.02393,0.09868,-696.846186
CC(C)C1=CC(=O)C=C(C(C)C)C1=O,CC(C)c1cc(O)cc(C(C)C)c1[O],-0.26981,-0.13053,-617.5319479,-0.01152,0.09955,-618.20396
CC(C)CCCCCC1=CC(=O)C(=CC1=O)CCCCCC(C)C,CC(C)CCCCCc1cc(O)c(CCCCCC(C)C)cc1[O],-0.26958,-0.1275,-1010.776816,-0.01364,0.06182,-1011.450953
CC1=CC(=O)C(=C(C)C1=O)C,Cc1cc([O])c(C)c(C)c1O,-0.27032,-0.12643,-499.5674461,-0.00797,0.09851,-500.2253487
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(/C)=C/CC1=C(C)C(=O)C(=C(C)C1=O)C,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(/C)=C/Cc1c(C)c(O)c(C)c(C)c1[O],-0.24099,-0.1202,-1284.82352,-0.01408,0.0369,-1285.48852
CCC(C)(C)C(O)=O.O=C1C=CC(=O)C=C1,CCC(C)(C)C(O)=O.[O]c1ccc(O)cc1,-0.23614,-0.0538,-767.9583377,-0.06823,0.04954,-768.6603806
