molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
0_0-wt-1,O=C1C=CC(=O)C(=C1)C#N,6,0,0,0,0,1,0,-1,133.106,4.817,320.16,0,192.022,128.138,0,479.169,0,5.5,0.0484227,0,0.9249601,13.604,4.946,7.956,7.864,-1.3,-0.242,-0.708,-3.357,149.607,-0.993,63.47,-4.511,11.307,2.469,0,-1.505,2,58.26,0,0,86.48,3,0,6,0,6,0,10,0,2.352
0_1-wt-1,[O]c1ccc(O)cc1C#N,2,0,0,0,0,3,0,-1,135.122,5.643,325.768,0,173.693,152.075,0,487.792,2,3,0.0652736,0.0130235,0.9199108,12.893,5.481,9.368,7.941,0.055,-1.633,-2.269,-3.553,223.237,-0.986,97.824,-3.897,9.242,0.65,2,-0.701,3,69.305,0,0,70.352,3,0,6,0,6,0,10,0,0.253
0_1-wt-1,[O]c1ccc(O)cc1C#N,2,0,0,0,0,3,0,-1,135.122,5.617,324.993,0,173.656,151.337,0,486.196,2,3,0.0648984,0.0130546,0.9200942,12.823,5.459,9.337,7.934,0.045,-1.627,-2.269,-3.547,223.42,-0.985,97.91,-3.899,9.023,0.611,2,-0.704,3,69.254,0,0,69.75,3,0,6,0,6,0,10,0,0.259
1_0-wt-1,O=C1C=CC(=O)C(=C1C#N)C#N,5,0,0,0,0,2,0,-2,158.116,7.582,349.671,0,243.045,106.625,0,536.92,0,7,0.107078,0,0.9136473,15.068,5.677,10.245,9.393,-2.168,0.147,-0.543,-3.438,49.102,-1.498,19.036,-5.431,11.391,2.932,0,-1.781,2,44.517,0,0,111.16,4,0,6,0,6,0,12,0,0.822
1_1-wt-1,[O]c1ccc(O)c(C#N)c1C#N,0,0,0,0,0,4,0,-2,160.132,9.133,355.88,0,225.606,130.274,0,546.771,2,4.5,0.1525623,0.0178823,0.9086533,14.403,6.232,12.07,9.475,-0.375,-1.69,-2.309,-3.631,71.858,-1.499,28.73,-4.834,9.426,1.298,2,-0.762,2,57.977,0,0,94.522,4,0,6,0,6,0,12,0,0.027
1_1-wt-1,[O]c1ccc(O)c(C#N)c1C#N,0,0,0,0,0,4,0,-2,160.132,11.906,356.973,0,226.418,130.555,0,548.479,2,4.5,0.2584569,0.0178275,0.9077563,14.475,6.25,13.549,9.486,-0.372,-1.699,-2.309,-3.647,70.595,-1.509,28.185,-4.848,9.645,1.303,2,-0.76,2,57.856,0,0,95.137,4,0,6,0,6,0,12,0,0.025
1_1-wt-1,[O]c1ccc(O)c(C#N)c1C#N,0,0,0,0,0,4,0,-2,160.132,9.361,355.497,0,224.941,130.556,0,545.733,2,4.5,0.1605597,0.0179016,0.9084803,14.365,6.216,12.163,9.472,-0.376,-1.687,-2.309,-3.636,72.909,-1.495,29.184,-4.821,9.214,1.276,2,-0.764,2,58.085,0,0,93.937,4,0,6,0,6,0,12,0,0.028
2_0-wt-1,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,1,0,0,0,0,3,1,-2,229.022,5.187,396.591,19.369,212.56,42.999,121.662,630.687,1,5.75,0.0426614,0.0144986,0.8968061,17.57,6.952,11.303,8.921,-0.004,-2.811,-2.974,-3.407,95.542,-1.081,181.354,-4.997,9.8,2.554,2,-0.772,3,62.364,0,0,99.678,4,0,6,0,6,1,14,0,0.004
2_0-wt-1,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,1,0,0,0,0,3,1,-2,229.022,5.187,396.59,19.369,212.56,42.999,121.662,630.687,1,5.75,0.042661,0.0144986,0.8968064,17.57,6.952,11.303,8.921,-0.004,-2.811,-2.974,-3.407,95.542,-1.081,181.354,-4.997,9.8,2.554,2,-0.772,3,62.364,0,0,99.678,4,0,6,0,6,1,14,0,0.004
2_1-wt-1,[O]c1c(Cl)c(Cl)c(O)c(C#N)c1C#N,0,0,0,0,0,4,0,-2,229.022,3.306,393.291,0,210.83,64.152,118.309,624.202,2,4.5,0.0175072,0.0161813,0.8981203,16.871,7.235,11.47,9.057,0.325,-2.902,-3.479,-3.486,99.22,-1.13,181.088,-4.795,9.33,1.616,2,-0.611,3,64.585,0,0,92.129,4,0,6,0,6,0,14,0,0.004
