LHS Id,LHS Compound,RHS Id,RHS Compound,RXN Type,LHS Total Energy,LHS Electronic Energy,RHS Total Energy,RHS Electronic Energy,Experimental Redox
0_0,O=C1C=CC(=O)C(=C1)C#N,0_1,[O]c1ccc(O)cc1C#N,2,-1674.93346,-6931.17758,-1691.99424,-7163.55996,10
1_0,O=C1C=CC(=O)C(=C1C#N)C#N,1_1,[O]c1ccc(O)c(C#N)c1C#N,2,-1969.60477,-8810.1072,-1987.14162,-9082.45985,403
2_0,ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N,2_1,[O]c1c(Cl)c(Cl)c(O)c(C#N)c1C#N,2,-2476.30992,-11792.4467,-2494.3374,-12102.85415,597
3_0,ClC1=CC(=O)C=CC1=O,3_1,[O]c1ccc(O)cc1Cl,2,-1633.57943,-6480.66091,-1650.13255,-6700.2946,-212
4_0,CC(C)(C)C1=CC(=O)C(=CC1=O)Br,4_1,CC(C)(C)c1cc([O])c(Br)cc1O,2,-2188.99495,-12300.27187,-2205.40207,-12611.08738,-309
5_0,CC1=CC(=O)C=C(Br)C1=O,5_1,Cc1cc(O)cc(Br)c1[O],2,-1739.16871,-7685.16598,-1755.59579,-7922.55439,-284
6_0,CC(C)C1=CC(=O)C=C(I)C1=O,6_1,CC(C)c1cc(O)cc(I)c1[O],2,-2039.92292,-10546.0354,-2056.41792,-10860.79834,-402
7_0,CC(C)C1=CC(=O)C(=C(I)C1=O)C,7_1,CC(C)c1cc(O)c(C)c(I)c1[O],2,-2190.10158,-12159.73048,-2206.47318,-12421.78062,-398
8_0,ClC1=CC(=O)C=C(Br)C1=O,8_1,[O]c1c(Cl)cc(O)cc1Br,2,-1842.38773,-7639.45739,-1859.27478,-7870.16379,-44
9_0,ClC1=C(Cl)C(=O)C=CC1=O,9_1,[O]c1ccc(O)c(Cl)c1Cl,2,-1886.96005,-7824.25304,-1903.83701,-8064.81928,-108
10_0,ClC1=CC(=O)C(=CC1=O)Cl,10_1,[O]c1cc(Cl)c(O)cc1Cl,2,-1886.99709,-7757.66881,-1903.94823,-7995.93814,-84
