LHS Compound,RHS Compound,LHS HOMO,LHS LUMO,LHS Total Energy,RHS HOMO,RHS LUMO,RHS Total Energy
O=C1C=CC(=O)c2cc(ccc12)C#N,[O]C1C=CC([O])c2cc(ccc12)C#N,-0.29471,-0.14779,-627.537545764,0.09046,0.1886,-628.672091383
CC1=C(C)C(=O)c2cc(ccc2C1=O)C#N,CC1=C(C)C([O])c2cc(ccc2C1[O])C#N,-0.28464,-0.13769,-706.199592251,0.08659,0.18713,-707.330158975
ClC1=CC(=O)c2ccccc2C1=O,ClC1=CC([O])c2ccccc2C1[O],-0.28623,-0.13627,-994.895323094,0.09779,0.1872,-996.009684952
CCCNC1=C(Cl)C(=O)c2ccccc2C1=O,CCCNC1=C(Cl)C([O])c2ccccc2C1[O],-0.23176,-0.11913,-1168.25029704,0.09418,0.15687,-1169.35902159
ClC1=C(Cl)C(=O)c2ccccc2C1=O,ClC1=C(Cl)C([O])c2ccccc2C1[O],-0.2827,-0.13999,-1454.51358175,0.08989,0.18355,-1455.64291449
Clc1cc2C(=O)C=CC(=O)c2cc1Cl,Clc1cc2C([O])C=CC([O])c2cc1Cl,-0.28168,-0.14066,-1454.51593093,0.09402,0.17441,-1455.63597704
BrC1=C(Br)C(=O)c2ccccc2C1=O,BrC1=C(Br)C([O])c2ccccc2C1[O],-0.27606,-0.13956,-5682.34056059,0.08353,0.18099,-5683.47574351
CC1=CC(=O)c2cc(Br)c(Br)cc2C1=O,CC1=CC([O])c2cc(Br)c(Br)cc2C1[O],-0.27331,-0.1351,-5721.67594204,0.08551,0.15353,-5722.80525145
CC1=C(C)C(=O)c2cc(Br)c(Br)cc2C1=O,CC1=C(C)C([O])c2cc(Br)c(Br)cc2C1[O],-0.2698,-0.13128,-5761.00447749,0.08291,0.15262,-5762.13260168
CC1=CC(=O)c2ccccc2C1=O,CC1=CC([O])c2ccccc2C1[O],-0.2727,-0.12395,-574.606339308,0.10825,0.19513,-575.700340171
Cc1cccc2C(=O)C=CC(=O)c12,Cc1cccc2C([O])C=CC([O])c12,-0.27239,-0.12569,-574.598605898,0.11021,0.19088,-575.691554978
Cc1ccc2C(=O)C=CC(=O)c2c1,Cc1ccc2C([O])C=CC([O])c2c1,-0.27453,-0.12638,-574.603194605,0.11117,0.17521,-575.690321825
CC(C)(C)C1=CC(=O)c2ccccc2C1=O,CC(C)(C)C1=CC([O])c2ccccc2C1[O],-0.26896,-0.12255,-692.574176588,0.10105,0.18235,-693.678185135
O=C1C=C(C2CCCCC2)C(=O)c3ccccc13,[O]C1C=C(C2CCCCC2)C([O])c3ccccc13,-0.26891,-0.12269,-770.019906528,0.10101,0.1618,-771.111367526
CC1=C(C)C(=O)c2ccccc2C1=O,CC1=C(C)C([O])c2ccccc2C1[O],-0.26831,-0.11954,-613.934455948,0.10843,0.19132,-615.020304787
Cc1ccc2C(=O)C(=CC(=O)c2c1)C,Cc1ccc2C([O])C(=CC([O])c2c1)C,-0.26976,-0.12088,-613.936123355,0.10723,0.17574,-615.028166745
Cc1ccc2C(=O)C=C(C)C(=O)c2c1,Cc1ccc2C([O])C=C(C)C([O])c2c1,-0.26955,-0.12099,-613.93605323,0.10749,0.17584,-615.028147973
Cc1cccc2C(=O)C=C(C)C(=O)c12,Cc1cccc2C([O])C=C(C)C([O])c12,-0.26798,-0.12038,-613.931238316,0.10695,0.19212,-615.022686712
Cc1ccc(C)c2C(=O)C=CC(=O)c12,Cc1ccc(C)c2C([O])C=CC([O])c12,-0.26256,-0.12169,-613.922571896,0.106,0.18904,-615.019409798
Cc1cc2C(=O)C=CC(=O)c2cc1C,Cc1cc2C([O])C=CC([O])c2cc1C,-0.2687,-0.12325,-613.932221056,0.1107,0.16733,-615.017424236
CCC1=C(C)C(=O)c2ccccc2C1=O,CCC1=C(C)C([O])c2ccccc2C1[O],-0.26687,-0.11881,-653.258787499,0.10289,0.19311,-654.354586098
CCCCCC1=C(C)C(=O)c2ccccc2C1=O,CCCCCC1=C(C)C([O])c2ccccc2C1[O],-0.26613,-0.11811,-771.233347637,0.09944,0.14152,-772.332354804
CCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,CCCCCCCCCCC1=C(C)C([O])c2ccccc2C1[O],-0.26589,-0.11796,-967.857985101,0.09806,0.10668,-968.947197311
CCCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,CCCCCCCCCCCC1=C(C)C([O])c2ccccc2C1[O],-0.26616,-0.11848,-1007.17418647,0.11153,0.12055,-1007.75431237
CCCCCCCCCCC1=C(C)C(=O)c2cc(Cl)c(Cl)cc2C1=O,CCCCCCCCCCC1=C(C)C([O])c2cc(Cl)c(Cl)cc2C1[O],-0.27196,-0.12928,-1887.09831558,0.08397,0.11006,-1888.21969454
Cc1cccc2C(=O)C(=C(C)C(=O)c12)C,Cc1cccc2C([O])C(=C(C)C([O])c12)C,-0.26383,-0.11662,-653.259355537,0.10228,0.19226,-654.350290024
Cc1cc2C(=O)C(=C(C)C(=O)c2cc1C)C,Cc1cc2C([O])C(=C(C)C([O])c2cc1C)C,-0.25978,-0.1143,-692.593107139,0.10341,0.16802,-693.68267012
COC1=CC(=O)c2ccccc2C1=O,COC1=CC([O])c2ccccc2C1[O],-0.26228,-0.12342,-649.832456167,0.10366,0.19259,-650.933322551
COc1cccc2C(=O)C=CC(=O)c12,COc1cccc2C([O])C=CC([O])c12,-0.25085,-0.12078,-649.825044519,0.10467,0.19246,-650.922792037
COC1=CC(=O)c2ccc(O)cc2C1=O,COC1=CC([O])c2ccc(O)cc2C1[O],-0.2541,-0.1175,-725.088851937,0.10452,0.17105,-726.178114892
COC1=C(OC)C(=O)c2ccccc2C1=O,COC1=C(OC)C([O])c2ccccc2C1[O],-0.23648,-0.11932,-764.384946979,0.10001,0.18702,-765.485899026
COc1ccc(OC)c2C(=O)C=CC(=O)c12,COc1ccc(OC)c2C([O])C=CC([O])c12,-0.2282,-0.11266,-764.372179757,0.09867,0.18942,-765.482607432
CC(=O)Oc1cccc2C(=O)C=CC(=O)c12,CC(=O)Oc1cccc2C([O])C=CC([O])c12,-0.27537,-0.13137,-763.218819307,0.0957,0.17301,-764.377298998
CC(=O)Oc1ccc(O)c2C(=O)C=CC(=O)c12,CC(=O)Oc1ccc(O)c2C([O])C=CC([O])c12,-0.25535,-0.12524,-838.458557851,0.11732,0.17194,-839.726569129
CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C=CC(=O)c12,CC(=O)Oc1ccc(OC(C)=O)c2C([O])C=CC([O])c12,-0.27084,-0.13279,-991.16237411,0.11652,0.15838,-990.838989361
CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C(=CC(=O)c12)OC(C)=O,CC(=O)Oc1ccc(OC(C)=O)c2C([O])C(=CC([O])c12)OC(C)=O,-0.27313,-0.13129,-1219.11106906,0.10049,0.16008,-1220.41508156
C=CCOC1=CC(=O)c2ccccc2C1=O,C=CCOC1=CC([O])c2ccccc2C1[O],-0.26447,-0.12297,-727.250144269,0.09985,0.16911,-728.354449741
CC(C)OC1=CC(=O)c2ccccc2C1=O,CC(C)OC1=CC([O])c2ccccc2C1[O],-0.26357,-0.12209,-728.49237131,0.10666,0.16797,-729.584656795
