molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
Molecule0,O=C1C=CC(=O)c2cc(ccc12)C#N,3,0,0,0,0,1,0,-1,183.166,4.25,388.801,0,180.656,208.145,0,617.503,0,5.5,0.0292451,0,0.9019804,19.904,6.712,9.93,8.496,-0.274,-1.241,-2.011,-4.111,191.753,-0.977,83,-4.02,10.542,2.057,0,-1.103,2,66.197,0,0,83.568,3,0,10,0,10,0,14,0,0.502
Molecule1,CC1=C(C)C(=O)c2cc(ccc2C1=O)C#N,1,0,0,0,0,1,0,-1,211.22,5.207,439.266,142.404,160.262,136.599,0,721.82,0,5.5,0.0375577,0,0.8859105,23.396,7.024,11.023,7.992,0.377,-2.499,-2.607,-4.03,299.317,-0.858,134.311,-3.896,10.474,1.939,2,-0.8,3,73.468,0,0,79.296,3,0,10,0,10,0,16,0,0.085
Molecule2,ClC1=CC(=O)c2ccccc2C1=O,2,0,0,0,0,0,0,0,192.601,3.295,372.737,0,102.32,202.231,68.187,594.127,0,4,0.0182764,0,0.9169556,19.554,6.492,8.85,6.651,1.154,-1.324,-1.907,-3.84,1060.722,-0.08,1246.09,-2.693,10.224,1.807,0,-0.727,3,87.856,0,0,56.854,2,0,10,0,10,0,13,0,12.835
Molecule3,CCCNC1=C(Cl)C(=O)c2ccccc2C1=O,0,0,0,0,0,3,0,0,249.696,3.336,485.548,164.589,86.871,173.793,60.295,806.535,1,5,0.0137967,0.0102976,0.8630082,25.857,8.137,12.625,8.41,2.14,-3.181,-2.941,-4.577,1486.276,-0.247,1624.3,-2.22,8.57,1.473,2,-0.244,3,96.248,0,0,63.322,3,0,10,0,10,0,17,0,0.943
Molecule4,ClC1=C(Cl)C(=O)c2ccccc2C1=O,2,0,0,0,0,0,0,1,227.046,4.384,391.038,0,95.059,174.476,121.503,632.039,0,4,0.0304018,0,0.9108404,20.806,6.963,9.629,6.476,1.061,-1.922,-2.639,-3.807,1242.947,0.098,2897.568,-2.657,9.874,1.916,0,-0.617,3,88.542,0,0,55.604,2,0,10,0,10,0,14,0,4.332
Molecule5,Clc1cc2C(=O)C=CC(=O)c2cc1Cl,2,0,0,0,0,0,0,0,227.046,1.593,395.061,0,108.702,156.87,129.489,636.385,0,4,0.003987,0,0.9056933,20.812,6.99,9.337,6.462,0.995,-1.998,-2.639,-3.806,922.733,-0.002,2322.414,-2.97,9.794,1.91,0,-0.605,3,85.839,0,0,57.771,2,0,10,0,10,0,14,0,1.63
Molecule6,BrC1=C(Br)C(=O)c2ccccc2C1=O,2,0,0,0,0,0,0,1,315.948,3.747,401.765,0,95.164,174.945,131.657,652.457,0,4,0.0215196,0,0.9055113,21.628,7.204,9.837,6.509,1.644,-2.31,-4.527,-3.895,1240.122,0.113,3285.405,-2.657,10.4,1.976,0,-0.558,3,91.938,0,0,56.312,2,0,10,0,10,0,14,0,3.407
Molecule7,CC1=CC(=O)c2cc(Br)c(Br)cc2C1=O,1,0,0,0,0,0,0,1,329.975,1.3,433.459,84.215,98.999,111.113,139.132,710.105,0,4,0.0023792,0,0.8880393,23.326,7.288,10.089,6.18,1.919,-2.943,-4.825,-3.874,1140.501,0.068,3297.848,-2.953,10.2,1.891,1,-0.391,3,92.897,0,0,55.844,2,0,10,0,10,0,15,0,0.419
Molecule8,CC1=C(C)C(=O)c2cc(Br)c(Br)cc2C1=O,1,0,0,0,0,0,0,1,344.002,1.74,454.465,142.416,88.33,84.562,139.157,757.525,0,4,0.0039958,0,0.8842918,24.97,7.484,10.589,5.978,2.308,-3.342,-5.122,-3.808,1439.695,0.152,4243.511,-2.85,10.174,1.831,2,-0.253,3,96.985,0,0,53.512,2,0,10,0,10,0,16,0,0.222
Molecule9,CC1=CC(=O)c2ccccc2C1=O,0,0,0,0,0,0,0,0,172.183,1.275,380.182,84.214,99.032,196.937,0,609.091,0,4,0.0026677,0,0.9140326,20.103,6.081,8.46,6.587,1.01,-1.051,-1.473,-3.862,1139.68,-0.227,569.804,-2.651,10.161,1.605,1,-0.684,3,87.568,0,0,55.864,2,0,10,0,10,0,13,0,18.107
Molecule10,Cc1cccc2C(=O)C=CC(=O)c12,0,0,0,0,0,0,0,0,172.183,1.942,374.24,74.566,96.091,203.583,0,602.303,0,4,0.006259,0,0.9216343,19.894,6.109,8.447,6.598,0.996,-0.976,-1.473,-3.771,1215.258,-0.191,610.754,-2.573,9.895,1.619,1,-0.704,3,87.99,0,0,55.116,2,0,10,0,10,0,13,0,28.058
Molecule11,Cc1ccc2C(=O)C=CC(=O)c2c1,0,0,0,0,0,0,0,0,172.183,2.198,383.006,88.133,108.714,186.159,0,612.201,0,4,0.007889,0,0.9103789,20.124,6.071,8.562,6.586,0.961,-1.07,-1.473,-3.87,922.499,-0.311,453.401,-2.867,9.96,1.626,1,-0.675,3,85.637,0,0,57.781,2,0,10,0,10,0,13,0,9.726
Molecule12,CC(C)(C)C1=CC(=O)c2ccccc2C1=O,1,0,0,0,0,1,0,0,214.263,1.311,447.567,189.01,78.525,180.032,0,757.817,0,4,0.0022682,0,0.8981518,25.251,7.21,10.08,6.274,2.132,-2.431,-2.367,-4.039,1783.397,-0.146,924.526,-2.237,10.135,1.567,0,-0.295,3,100,0,0,51.648,2,0,10,0,10,0,16,0,4.498
Molecule13,O=C1C=C(C2CCCCC2)C(=O)c3ccccc13,0,0,0,0,0,0,0,0,240.301,1.087,491.143,219.246,93.314,178.583,0,835.964,0,4,0.0014131,0,0.8738063,29.007,7.922,11.441,6.691,2.364,-3.43,-2.891,-4.426,1291.222,-0.251,652.122,-2.61,10.155,1.597,1,-0.025,3,96.47,0,0,55.551,2,0,16,0,16,6,18,0,0.219
Molecule14,CC1=C(C)C(=O)c2ccccc2C1=O,1,0,0,0,0,0,0,0,186.21,0.626,401.14,142.391,88.332,170.417,0,656.453,0,4,0.0005969,0,0.9106224,21.745,6.282,8.908,6.384,0.971,-1.49,-1.771,-3.791,1439.612,-0.147,733.491,-2.547,10.121,1.543,2,-0.546,3,89.155,0,0,53.519,2,0,10,0,10,0,14,0,9.965
Molecule15,Cc1ccc2C(=O)C(=CC(=O)c2c1)C,0,0,0,0,0,0,0,0,186.21,1.66,413.057,172.341,99.151,141.564,0,669.694,0,4,0.0041137,0,0.8962025,21.999,6.169,9.022,6.29,0.96,-1.661,-1.771,-3.887,1136.71,-0.26,568.2,-2.848,9.93,1.565,2,-0.508,3,87.259,0,0,55.892,2,0,10,0,10,0,14,0,2.962
Molecule16,Cc1ccc2C(=O)C=C(C)C(=O)c2c1,0,0,0,0,0,0,0,0,186.21,1.846,412.519,172.338,98.744,141.437,0,669.201,0,4,0.0050935,0,0.8969301,21.978,6.166,9.027,6.286,0.96,-1.653,-1.771,-3.874,1146.87,-0.255,573.691,-2.841,9.924,1.566,2,-0.509,3,87.326,0,0,55.776,2,0,10,0,10,0,14,0,3.082
Molecule17,Cc1cccc2C(=O)C=C(C)C(=O)c12,0,0,0,0,0,0,0,0,186.21,1.747,403.69,158.554,86.007,159.129,0,659.156,0,4,0.0046281,0,0.9073512,21.745,6.186,8.927,6.298,0.98,-1.536,-1.771,-3.79,1514.578,-0.133,774.861,-2.544,9.858,1.557,2,-0.538,3,89.603,0,0,53.098,2,0,10,0,10,0,14,0,8.979
Molecule18,Cc1ccc(C)c2C(=O)C=CC(=O)c12,0,0,0,0,0,0,0,0,186.21,2.011,398.435,148.841,85.848,163.745,0,652.891,0,4,0.0061917,0,0.9134844,21.538,6.207,8.895,6.316,0.964,-1.444,-1.771,-3.713,1519.85,-0.122,777.777,-2.525,9.622,1.566,2,-0.557,3,89.54,0,0,52.408,2,0,10,0,10,0,14,0,11.803
Molecule19,Cc1cc2C(=O)C=CC(=O)c2cc1C,0,0,0,0,0,0,0,0,186.21,2.676,406.246,151.153,108.69,146.402,0,662.302,0,4,0.0108122,0,0.9045107,21.749,6.264,9.099,6.372,0.906,-1.518,-1.771,-3.775,922.974,-0.322,453.653,-3.007,9.84,1.591,2,-0.529,3,85.322,0,0,57.757,2,0,10,0,10,0,14,0,2.766
Molecule20,CCC1=C(C)C(=O)c2ccccc2C1=O,1,0,0,0,0,1,0,0,200.237,0.64,429.363,181.593,79.458,168.311,0,712.316,0,4,0.0005758,0,0.8983714,23.318,6.676,9.358,6.157,1.529,-2.096,-2.069,-3.979,1747.423,-0.153,904.385,-2.295,10.121,1.55,2,-0.427,3,93.932,0,0,52.96,2,0,10,0,10,0,15,0,8.131
Molecule21,CCCCCC1=C(C)C(=O)c2ccccc2C1=O,1,0,0,0,0,4,0,0,242.317,0.651,527.595,279.888,79.458,168.249,0,893.507,0,4,0.0004748,0,0.8503471,28.643,8.207,11.024,5.731,2.845,-3.47,-2.963,-4.756,1747.418,-0.41,904.383,-2.007,10.124,1.558,2,-0.028,3,100,0,0,52.858,2,0,10,0,10,0,18,0,0.808
Molecule22,CCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,1,0,0,0,0,9,0,-1,312.451,0.76,680.3,438.063,75.186,167.05,0,1183.306,0,4,0.0004883,0,0.795297,37.018,10.943,13.633,4.959,4.742,-5.549,-4.452,-5.641,1918.266,-0.771,1000.325,-1.453,10.121,1.554,2,0.601,3,100,0,0,52.143,2,0,10,0,10,0,23,0,0.031
Molecule23,CCCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,1,0,0,0,0,10,0,-1,326.478,0.68,720.728,473.118,79.276,168.334,0,1251.725,0,4,0.0003693,0,0.7793508,39.127,11.687,14.306,4.872,5.162,-6.153,-4.75,-5.905,1754.387,-0.909,908.282,-1.427,10.126,1.559,2,0.757,3,100,0,0,52.842,2,1,10,0,10,0,24,1,0.009
Molecule24,CCCCCCCCCCC1=C(C)C(=O)c2cc(Cl)c(Cl)cc2C1=O,2,0,0,0,0,9,0,0,381.341,2.735,724.448,437.853,75.213,81.868,129.514,1267.461,0,4,0.0058998,0,0.7818337,39.573,12.107,15.069,4.531,5.685,-6.95,-5.915,-5.453,1917.145,-0.481,5120.872,-1.753,9.744,1.799,2,0.845,1,100,0,0,52.139,2,1,10,0,10,0,25,1,0.001
Molecule25,Cc1cccc2C(=O)C(=C(C)C(=O)c12)C,1,0,0,0,0,0,0,0,200.237,0.992,424.857,216.653,75.536,132.668,0,706.684,0,4,0.0013934,0,0.9031074,23.394,6.378,9.363,6.098,1.501,-2.174,-2.069,-3.733,1903.677,-0.054,992.104,-2.444,9.817,1.494,3,-0.4,3,94.433,0,0,50.828,2,0,10,0,10,0,15,0,4.824
Molecule26,Cc1cc2C(=O)C(=C(C)C(=O)c2cc1C)C,0,0,0,0,0,0,0,0,214.263,1.616,456.688,293.586,88.306,74.797,0,766.647,0,4,0.0034081,0,0.887038,25.242,6.546,9.978,5.868,1.825,-2.777,-2.367,-3.717,1440.449,-0.185,733.952,-2.883,9.785,1.471,4,-0.226,3,94.163,0,0,53.492,2,0,10,0,10,0,16,0,0.468
Molecule27,COC1=CC(=O)c2ccccc2C1=O,0,0,0,0,0,1,0,0,188.182,1.016,391.152,93.039,108.623,189.491,0,630.823,0,4.75,0.001637,0,0.9094052,20.259,6.282,8.9,7.146,0.339,-0.863,-1.465,-3.902,924.328,-0.372,454.372,-2.758,10.154,1.573,1,-0.864,3,82.011,0,0,65.042,3,0,10,0,10,0,14,0,34.438
Molecule28,COc1cccc2C(=O)C=CC(=O)c12,0,0,0,0,0,1,0,0,188.182,3.149,392.574,92.325,104.332,195.916,0,633.301,0,4.75,0.0156612,0,0.9084842,20.42,6.314,9.136,7.164,0.384,-0.89,-1.465,-3.947,1015.118,-0.34,502.798,-2.656,9.514,1.559,1,-0.857,3,83.004,0,0,63.09,3,0,10,0,10,0,14,0,40.91
Molecule29,COC1=CC(=O)c2ccc(O)cc2C1=O,0,0,0,0,0,2,0,-1,204.182,2.133,403.41,93.034,163.183,147.194,0,653.381,1,5.5,0.0069652,0.0136338,0.9026701,20.116,6.772,10.938,9.242,0.227,-1.734,-1.912,-3.809,280.826,-0.892,125.365,-3.816,9.657,1.557,2,-0.635,3,72.098,0,0,87.573,4,0,10,0,10,0,15,0,0.752
Molecule30,COC1=C(OC)C(=O)c2ccccc2C1=O,0,0,0,0,0,2,0,0,218.209,1.936,417.319,158.554,92.767,165.999,0,699.116,0,5.5,0.0053585,0,0.9128437,22.126,6.738,9.876,7.46,0.73,-1.048,-1.755,-3.734,1306.755,-0.299,660.606,-2.452,10.046,1.693,2,-0.909,3,86.994,0,0,70.853,4,0,10,0,10,0,16,0,92.57
Molecule31,COc1ccc(OC)c2C(=O)C=CC(=O)c12,0,0,0,0,0,2,0,0,218.209,4.504,434.073,184.431,99.508,150.135,0,714.159,0,5.5,0.0284004,0,0.8901541,22.576,6.644,10.307,7.438,0.763,-1.333,-1.755,-4.025,1127.899,-0.394,563.44,-2.633,9.026,1.463,2,-0.865,3,86.042,0,0,68.131,4,0,10,0,10,0,16,0,29.435
Molecule32,CC(=O)Oc1cccc2C(=O)C=CC(=O)c12,2,0,0,0,0,1,1,0,216.193,2.819,427.185,92.726,136.177,198.282,0,700.751,0,6.5,0.0113393,0,0.8931516,23.142,7.127,11.11,9.204,-0.009,-0.926,-1.249,-4.207,506.445,-0.635,237.129,-3.235,10.087,1.745,0,-1.129,3,75.299,0,0,91.371,4,0,10,0,10,0,16,0,22.591
Molecule33,CC(=O)Oc1ccc(O)c2C(=O)C=CC(=O)c12,0,0,0,0,0,2,1,-2,232.192,3.627,435.241,92.59,173.459,169.191,0,718.779,0,6.25,0.0182989,0,0.8915915,22.943,7.358,11.104,8.812,-0.062,-0.867,-1.704,-4.093,224.38,-1.012,98.365,-3.928,9.561,1.689,1,-1.052,2,68.662,0,0,110.321,5,0,10,0,10,0,17,0,3.721
Molecule34,CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C=CC(=O)c12,2,0,0,0,0,2,2,-2,274.229,4.459,502.416,184.793,163.585,154.039,0,849.532,0,9,0.0234088,0,0.8634189,28.031,8.323,14.315,11.512,-0.497,-0.7,-1.321,-4.477,278.372,-1.02,124.181,-3.8,9.981,1.812,0,-1.408,2,67.788,0,0,124.667,6,0,10,0,10,0,20,0,8.678
Molecule35,CC(=O)Oc1ccc(OC(C)=O)c2C(=O)C(=CC(=O)c12)OC(C)=O,3,0,0,0,0,3,3,-2,332.266,6.682,586.623,279.906,204.352,102.365,0,1005.032,0,11.5,0.0444203,0,0.8271666,33.119,9.657,17.736,13.883,-1.043,-0.824,-1.394,-4.817,114.297,-1.609,47.446,-4.637,10.036,1.871,0,-1.668,2,57.673,0,0,159.723,8,0,10,0,10,0,24,0,1.15
